make,model,price
Suzuki,Sidekick,$16250.27
Lincoln,Mark VIII,$49269.00
Pontiac,Grand Prix,$46091.09
Mazda,RX-8,$13551.64
Geo,Tracker,$14603.67
Mitsubishi,Eclipse,$11688.08
Ford,Crown Victoria,$18538.31
Lamborghini,Diablo,$28263.24
Toyota,Avalon,$41623.66
Subaru,Leone,$41811.99
Volkswagen,rio,$14101.61
Volvo,XC90,$23675.64
Lamborghini,Gallardo,$36293.61
Dodge,Ram Van 3500,$24776.48
Lexus,RX,$44492.71
Chevrolet,Tracker,$46370.79
Cadillac,Escalade EXT,$22828.38
Oldsmobile,Cutlass Supreme,$24607.73
Infiniti,QX56,$19453.01
Kia,Forte,$31949.94
Audi,A6,$45264.19
Chevrolet,HHR,$10044.66
Mercedes-Benz,GLK-Class,$47402.29
Chevrolet,Tahoe,$42847.32
Ford,Escort,$18929.71
Lotus,Esprit,$11190.74
Honda,CR-V,$47302.40
Honda,Civic Si,$23155.40
Scion,xB,$30382.95
Mazda,929,$47853.79
Chevrolet,HHR,$32826.59
Nissan,NX,$13742.88
Volkswagen,Cabriolet,$34926.99
Ford,F-Series,$11434.41
Geo,Storm,$39066.02
Porsche,Cayman,$43457.49
Lexus,RX,$39380.74
Lincoln,MKZ,$13519.46
Honda,S2000,$22869.83
Chrysler,LeBaron,$21888.96
BMW,M3,$14010.85
Chevrolet,Tahoe,$21426.64
Cadillac,Escalade ESV,$20306.15
Toyota,MR2,$44749.13
Chevrolet,Monza,$34668.87
Mercedes-Benz,W201,$39014.39
GMC,Sierra 3500,$29075.78
Toyota,Land Cruiser,$14423.59
Honda,Insight,$14876.49
Porsche,911,$37000.51
Audi,S4,$41996.64
Dodge,Stealth,$31569.46
Ford,F250,$33868.09
Hyundai,Sonata,$28359.89
Mitsubishi,Eclipse,$28555.59
Aston Martin,Virage,$15802.08
Isuzu,Trooper,$42231.88
Mazda,B-Series,$23626.22
Lexus,SC,$28295.62
BMW,525,$43822.66
BMW,M3,$38063.23
Toyota,Celica,$47936.06
Dodge,Viper,$41461.11
GMC,3500,$37247.13
Buick,Century,$40413.95
Mercedes-Benz,SL-Class,$19265.10
Buick,Park Avenue,$24368.42
Saturn,S-Series,$44712.87
Porsche,Carrera GT,$16202.17
Oldsmobile,Intrigue,$42394.48
Lexus,GX,$23060.69
BMW,X6 M,$27276.53
Pontiac,Sunbird,$24770.05
Dodge,Ram 2500,$27857.09
Isuzu,i-290,$28679.61
GMC,Rally Wagon 2500,$13098.71
Mercury,Villager,$27785.22
Chevrolet,Silverado 2500,$11537.99
Chevrolet,Suburban 2500,$40391.13
Panoz,Esperante,$47494.30
Mercury,Grand Marquis,$15445.91
Chevrolet,Cruze,$14385.36
Honda,Element,$25219.66
Honda,Prelude,$37062.17
Mercedes-Benz,CLK-Class,$19343.30
Nissan,Murano,$45055.68
Mitsubishi,Outlander,$22674.10
Ford,F-Series,$11789.90
BMW,5 Series,$42656.32
BMW,M5,$13752.53
Subaru,Impreza,$23866.23
GMC,Rally Wagon 1500,$22494.34
Ford,F250,$33767.45
GMC,3500,$20564.23
Buick,Park Avenue,$45503.58
GMC,Yukon XL,$25897.81
Honda,Fit,$49232.78
Oldsmobile,Silhouette,$11852.19
Cadillac,Eldorado,$39945.06
Chevrolet,Lumina APV,$11820.99
Volkswagen,Jetta,$15082.43
Hyundai,Santa Fe,$18141.85
Austin,Mini Cooper S,$22527.71
Chevrolet,Cavalier,$47194.54
Ford,F-Series,$18738.36
Nissan,Xterra,$11900.83
Buick,Skylark,$45338.14
GMC,Savana 3500,$21962.43
Acura,Legend,$29527.54
Mitsubishi,Challenger,$33098.62
Subaru,Outback,$37750.85
Chevrolet,Express 1500,$48572.90
Saturn,Outlook,$13855.54
Buick,Regal,$18288.90
Buick,Reatta,$47125.62
Mitsubishi,Expo,$29225.48
Mazda,Protege,$38688.74
Mitsubishi,Lancer,$45358.18
Ford,F150,$28397.89
Pontiac,Sunfire,$40518.15
GMC,Savana,$21521.66
Isuzu,Hombre Space,$34819.00
Volkswagen,Touareg,$29211.87
GMC,Suburban 1500,$10518.40
GMC,Envoy XL,$42588.98
Toyota,Sienna,$15124.24
Mercury,Sable,$15108.26
Chevrolet,Suburban 1500,$39966.48
Volkswagen,Quantum,$49665.93
Cadillac,STS,$15903.14
Mercury,Cougar,$29311.14
Mercedes-Benz,C-Class,$32904.23
Subaru,XT,$45283.88
Porsche,Cayman,$21002.42
Lexus,GX,$25577.35
Lamborghini,Murciélago,$15621.39
Nissan,Quest,$12109.05
Chevrolet,Corvair 500,$35500.85
Volkswagen,Touareg,$25341.23
Porsche,Carrera GT,$28351.38
Toyota,RAV4,$36887.51
Mazda,Mazda6,$26625.31
Chrysler,Imperial,$34597.45
Porsche,Cayman,$44653.15
Volkswagen,Passat,$19928.83
Mercedes-Benz,C-Class,$43065.70
Aston Martin,V8 Vantage,$20022.49
Chrysler,Imperial,$30711.16
Jeep,Wrangler,$12288.26
Ford,Thunderbird,$19535.24
Geo,Metro,$10143.29
Hyundai,Sonata,$33949.70
Mazda,Mazda5,$29321.68
Ford,Explorer Sport Trac,$28692.96
Dodge,Stratus,$32794.18
Porsche,Boxster,$36428.35
GMC,Sierra 1500,$28161.14
MINI,Cooper Clubman,$26827.61
Toyota,Corolla,$49216.87
Ford,E250,$34205.79
Hummer,H2,$48410.19
Jeep,Grand Cherokee,$37395.07
Mazda,RX-7,$20490.45
Hummer,H3T,$13193.76
Chevrolet,2500,$36435.01
Ford,Escort,$27326.28
Toyota,FJ Cruiser,$47989.78
Ford,F250,$29810.33
Mercury,Tracer,$27241.93
Dodge,D250,$34133.98
Saturn,VUE,$25163.01
Land Rover,Discovery,$47378.80
Pontiac,Firebird,$34694.44
Suzuki,Swift,$19422.41
Aston Martin,DBS,$33127.23
Pontiac,Firefly,$42400.61
Subaru,Impreza,$28877.58
Ford,Expedition,$19261.51
Acura,RL,$28370.58
Suzuki,XL7,$40846.17
Pontiac,Firebird,$14987.49
Mercedes-Benz,CL-Class,$29867.92
Mercedes-Benz,CLS-Class,$33592.64
Ford,F250,$23764.40
Chevrolet,Silverado,$34464.53
Honda,Accord,$12966.49
Audi,Cabriolet,$24839.86
Ford,Probe,$10326.36
Chevrolet,2500,$14257.87
Mazda,MPV,$23038.37
Ford,Taurus,$33916.95
Mercedes-Benz,W201,$25120.42
Mitsubishi,Montero,$19944.81
Mitsubishi,RVR,$14136.02
Subaru,XT,$27655.85
Mitsubishi,Diamante,$22590.16
Bentley,Azure,$20920.21
Mitsubishi,Tredia,$32170.78
Mercedes-Benz,SLR McLaren,$26578.35
Scion,tC,$44901.95
Suzuki,Esteem,$33512.25
Chevrolet,Suburban 1500,$24848.85
Mercury,Topaz,$20554.77
Toyota,Paseo,$15462.86
Ford,Crown Victoria,$35523.68
Oldsmobile,Bravada,$37979.62
Aston Martin,DB9,$45024.81
Volkswagen,Touareg 2,$43092.55
Chevrolet,Colorado,$20377.84
Bentley,Arnage,$34326.98
Honda,Fit,$33303.25
Ford,Bronco II,$39913.05
Ford,Thunderbird,$28012.60
Ford,E350,$27793.84
Nissan,Maxima,$40197.74
Cadillac,Catera,$12706.98
GMC,3500,$12446.77
Mercedes-Benz,CLS-Class,$14176.04
Pontiac,Bonneville,$18320.38
Ford,Torino,$21317.58
Pontiac,Safari,$28208.79
Mercedes-Benz,SLK-Class,$15549.22
Land Rover,Range Rover Classic,$21767.40
Mercedes-Benz,S-Class,$10119.72
Buick,Skylark,$39044.00
Suzuki,Sidekick,$37182.30
Infiniti,QX,$24433.80
Mercedes-Benz,W201,$17858.15
Hyundai,Tucson,$42115.36
Pontiac,Bonneville,$48820.03
Hyundai,Sonata,$36809.05
Lincoln,Navigator,$30790.25
Dodge,D150 Club,$41915.38
Volkswagen,Golf,$45095.37
GMC,Yukon,$32135.55
Volvo,S80,$37012.23
Honda,Odyssey,$11408.88
Subaru,Outback,$10307.40
Oldsmobile,Achieva,$33707.76
Isuzu,Rodeo,$11360.37
Saturn,Astra,$14394.85
Chevrolet,Cavalier,$40752.72
Chevrolet,Prizm,$14722.35
Chevrolet,Impala,$38389.13
Volkswagen,riolet,$29074.62
Saab,9-7X,$16109.36
Volvo,XC90,$35034.96
BMW,530,$44835.83
Jeep,Grand Cherokee,$28980.75
Nissan,Maxima,$33846.54
Ford,Econoline E250,$41038.25
Subaru,Forester,$36996.59
Subaru,Forester,$41872.25
Plymouth,Colt Vista,$32455.55
Nissan,Murano,$39016.15
Dodge,Stratus,$18231.77
Ford,Taurus,$10536.11
Ford,F-Series,$13572.67
Dodge,Ram Van 2500,$38107.96
Honda,Insight,$46660.01
Volvo,C70,$40235.38
Mitsubishi,Tredia,$11545.96
Chevrolet,Express 2500,$43226.66
Dodge,Stratus,$18086.77
Land Rover,Range Rover Sport,$45118.15
GMC,Yukon XL 2500,$18562.96
MINI,Cooper Clubman,$44387.95
Subaru,Outback,$24033.61
Jeep,Wrangler,$37518.56
Acura,NSX,$39507.74
Lincoln,MKZ,$23514.94
Dodge,Intrepid,$15958.85
Daewoo,Leganza,$22891.32
Ford,F150,$20602.63
Lexus,LS,$45313.09
Mercury,Cougar,$39808.67
Land Rover,Defender,$27940.16
Chrysler,Fifth Ave,$13402.05
BMW,760,$35569.76
Ford,Escape,$39739.02
BMW,X5,$41473.99
Pontiac,Firefly,$21836.48
Lotus,Esprit Turbo,$39676.15
Dodge,Avenger,$27021.39
Toyota,Tundra,$22409.91
Ford,Thunderbird,$28954.43
Hyundai,XG350,$48210.86
Dodge,Ram Van B250,$44326.66
Chevrolet,Express 3500,$14356.89
Oldsmobile,Intrigue,$11061.80
Ford,Thunderbird,$25392.51
Suzuki,Grand Vitara,$26938.95
BMW,M3,$37289.00
Mitsubishi,Mighty Max,$31519.67
Foose,Hemisfear,$26941.89
Saturn,Astra,$24308.51
Buick,Terraza,$37988.96
Pontiac,Grand Prix,$10418.71
Ford,F350,$10962.77
Dodge,Durango,$34909.86
Buick,Coachbuilder,$27741.39
Dodge,Ram 3500,$48072.08
Chrysler,Voyager,$47927.08
Volkswagen,Passat,$44198.64
Mercury,Grand Marquis,$38680.76
Toyota,MR2,$26926.50
Chevrolet,G-Series G30,$31264.04
Audi,A6,$26013.35
Mercedes-Benz,GL-Class,$32199.68
Kia,Sephia,$18253.19
Plymouth,Neon,$34190.03
Oldsmobile,Cutlass,$19187.82
Infiniti,EX,$48765.92
Volkswagen,GTI,$38062.15
Chevrolet,Suburban 1500,$20460.10
Suzuki,Grand Vitara,$24573.60
Volvo,S80,$42468.97
Acura,Integra,$26010.75
Volkswagen,Golf III,$37654.57
Ford,Mustang,$31883.93
Suzuki,Daewoo Lacetti,$41224.57
Audi,R8,$35325.08
Pontiac,Grand Prix,$37564.11
Chrysler,Town & Country,$35064.23
